ID_Pesquisa,Data_Resposta,Nota_NPS,Estado,Motivo_Principal,ID_Sistema_Feedback,Classificacao_NPS
SRV-000041,2025-11-12,8,SC,Preço,39236,Neutro
SRV-000042,2025-05-21,6,SP,Qualidade do Produto,68735,Detrator
SRV-000043,2025-10-13,1,RS,Atendimento,19770,Detrator
SRV-000044,2025-12-05,3,SC,Qualidade do Produto,79285,Detrator
SRV-000045,2025-04-21,8,ES,Qualidade do Produto,45271,Neutro
SRV-000046,2025-04-18,1,SP,Qualidade do Produto,83391,Detrator
SRV-000047,2025-10-08,9,PE,Preço,33439,Promotor
SRV-000048,2025-02-19,8,ES,Preço,21101,Neutro
SRV-000049,2025-01-14,9,RJ,Atendimento,92319,Promotor
SRV-000050,2025-05-14,4,BA,Variedade,54917,Detrator
SRV-000051,2025-03-17,1,RJ,Variedade,93459,Detrator
SRV-000052,2025-03-25,3,PR,Variedade,90562,Detrator
SRV-000053,2025-12-09,6,MT,Atendimento,51196,Detrator
SRV-000054,2025-06-07,7,SC,Variedade,33569,Neutro
SRV-000055,2025-10-13,2,MT,Variedade,51887,Detrator
SRV-000056,2025-11-10,0,GO,Qualidade do Produto,30893,Detrator
SRV-000057,2025-04-04,3,BA,Preço,97971,Detrator
SRV-000058,2025-10-24,1,MT,Preço,65304,Detrator
SRV-000059,2025-04-04,7,SP,Qualidade do Produto,42399,Neutro
SRV-000060,2025-02-26,3,SP,Qualidade do Produto,35236,Detrator
SRV-000061,2025-06-13,1,MS,Qualidade do Produto,95870,Detrator
SRV-000062,2025-11-16,5,ES,Preço,59531,Detrator
SRV-000063,2025-04-08,5,PR,Variedade,90570,Detrator
SRV-000064,2025-01-16,9,GO,Qualidade do Produto,19442,Promotor
SRV-000065,2025-12-10,3,PA,Atendimento,66437,Detrator
SRV-000066,2025-03-19,5,GO,Qualidade do Produto,70342,Detrator
SRV-000067,2025-12-12,1,PE,Tempo de Entrega,88179,Detrator
SRV-000068,2025-03-13,9,MT,Qualidade do Produto,45069,Promotor
SRV-000069,2025-09-27,1,AM,Preço,83246,Detrator
SRV-000070,2025-10-14,9,RS,Qualidade do Produto,48560,Promotor
SRV-000071,2025-03-07,3,RS,Tempo de Entrega,68070,Detrator
SRV-000072,2025-03-09,7,BA,Atendimento,52427,Neutro
SRV-000073,2025-07-12,6,PA,Variedade,70496,Detrator
SRV-000074,2025-02-24,8,PR,Qualidade do Produto,74557,Neutro
SRV-000075,2025-06-17,7,PR,Tempo de Entrega,82752,Neutro
SRV-000076,2025-01-25,4,SP,Tempo de Entrega,87248,Detrator
SRV-000077,2025-05-11,1,AM,Atendimento,80441,Detrator
SRV-000078,2025-11-21,4,PE,Preço,58534,Detrator
SRV-000079,2025-04-12,7,SC,Qualidade do Produto,37930,Neutro
SRV-000080,2025-10-09,9,PE,Tempo de Entrega,99042,Promotor
SRV-000081,2025-10-23,8,MG,Atendimento,17288,Neutro
SRV-000082,2025-10-21,8,PR,Variedade,91122,Neutro
SRV-000083,2025-09-20,0,RJ,Tempo de Entrega,71518,Detrator
SRV-000084,2025-04-30,8,CE,Atendimento,42400,Neutro
SRV-000085,2025-08-19,6,PR,Preço,11567,Detrator
SRV-000086,2025-10-18,8,PA,Preço,57878,Neutro
SRV-000087,2025-06-10,7,GO,Tempo de Entrega,58850,Neutro
SRV-000088,2025-06-10,0,GO,Tempo de Entrega,11094,Detrator
SRV-000089,2025-03-19,7,GO,Qualidade do Produto,21135,Neutro
SRV-000090,2025-02-07,7,PA,Atendimento,89044,Neutro
SRV-000091,2025-01-28,10,AM,Tempo de Entrega,55113,Promotor
SRV-000092,2025-04-10,2,BA,Qualidade do Produto,68791,Detrator
SRV-000093,2025-10-21,0,MT,Qualidade do Produto,19684,Detrator
SRV-000094,2025-05-04,7,RJ,Tempo de Entrega,81727,Neutro
SRV-000095,2025-04-02,2,BA,Preço,93378,Detrator
SRV-000096,2025-09-12,2,ES,Atendimento,68552,Detrator
SRV-000097,2025-04-07,0,CE,Atendimento,18046,Detrator
SRV-000098,2025-01-06,10,CE,Preço,14934,Promotor
SRV-000099,2025-06-18,4,PA,Tempo de Entrega,69556,Detrator
SRV-000100,2025-09-28,9,SP,Atendimento,56806,Promotor
SRV-000101,2025-04-18,6,GO,Tempo de Entrega,11354,Detrator
SRV-000102,2025-10-26,9,PR,Tempo de Entrega,63046,Promotor
SRV-000103,2025-02-16,8,GO,Qualidade do Produto,75064,Neutro
SRV-000104,2025-04-09,6,SP,Preço,67184,Detrator
SRV-000105,2025-01-14,8,RS,Tempo de Entrega,12963,Neutro
SRV-000106,2025-07-13,7,BA,Variedade,37424,Neutro
SRV-000107,2025-06-06,1,MG,Preço,90039,Detrator
SRV-000108,2025-06-03,0,MG,Atendimento,13042,Detrator
SRV-000109,2025-04-25,6,RS,Qualidade do Produto,17139,Detrator
SRV-000110,2025-09-15,6,ES,Atendimento,21226,Detrator
SRV-000111,2025-05-25,7,MG,Atendimento,90298,Neutro
SRV-000112,2025-10-18,4,PA,Preço,93652,Detrator
SRV-000113,2025-01-10,2,BA,Atendimento,48108,Detrator
SRV-000114,2025-08-02,7,MG,Tempo de Entrega,80647,Neutro
SRV-000115,2025-08-21,5,GO,Atendimento,78617,Detrator
SRV-000116,2025-06-20,10,AM,Qualidade do Produto,39815,Promotor
SRV-000117,2025-01-21,2,RS,Qualidade do Produto,17802,Detrator
SRV-000118,2025-01-15,0,RJ,Variedade,52230,Detrator
SRV-000119,2025-05-06,2,MT,Qualidade do Produto,73372,Detrator
SRV-000120,2025-12-07,4,MT,Atendimento,64020,Detrator
SRV-000121,2025-12-07,2,SP,Qualidade do Produto,93449,Detrator
SRV-000122,2025-08-01,0,MS,Preço,27465,Detrator
SRV-000123,2025-07-07,4,SC,Qualidade do Produto,17994,Detrator
SRV-000124,2025-06-21,9,BA,Tempo de Entrega,13531,Promotor
SRV-000125,2025-09-04,6,SP,Preço,19343,Detrator
SRV-000126,2025-01-05,6,GO,Variedade,69066,Detrator
SRV-000127,2025-08-19,10,CE,Tempo de Entrega,16229,Promotor
SRV-000128,2025-07-20,8,MS,Atendimento,92124,Neutro
SRV-000129,2025-05-29,9,PE,Atendimento,98704,Promotor
SRV-000130,2025-03-13,9,PA,Atendimento,54789,Promotor
SRV-000131,2025-08-14,2,MG,Tempo de Entrega,54069,Detrator
SRV-000132,2025-03-15,6,MG,Tempo de Entrega,97402,Detrator
SRV-000133,2025-11-03,0,ES,Tempo de Entrega,19524,Detrator
SRV-000134,2025-06-18,3,MT,Preço,98074,Detrator
SRV-000135,2025-09-06,3,PA,Preço,96762,Detrator
SRV-000136,2025-10-07,4,SP,Atendimento,73103,Detrator
SRV-000137,2025-06-01,6,PE,Qualidade do Produto,18103,Detrator
SRV-000138,2025-08-12,6,MT,Atendimento,68581,Detrator
SRV-000139,2025-08-13,10,MG,Variedade,93938,Promotor
SRV-000140,2025-02-07,3,GO,Preço,64203,Detrator
SRV-000141,2025-02-13,6,CE,Tempo de Entrega,25090,Detrator
SRV-000142,2025-07-04,10,ES,Preço,25915,Promotor
SRV-000143,2025-08-29,2,SP,Tempo de Entrega,51477,Detrator
SRV-000144,2025-11-27,5,ES,Variedade,66987,Detrator
SRV-000145,2025-12-17,1,GO,Variedade,63238,Detrator
SRV-000146,2025-07-29,9,SP,Preço,97047,Promotor
SRV-000147,2025-01-23,8,PR,Tempo de Entrega,25029,Neutro
SRV-000148,2025-05-04,4,PR,Variedade,99067,Detrator
SRV-000149,2025-03-27,5,AM,Atendimento,63520,Detrator
SRV-000150,2025-02-12,3,MT,Atendimento,80053,Detrator
SRV-000151,2025-02-09,10,RS,Tempo de Entrega,61464,Promotor
SRV-000152,2025-10-30,9,AM,Preço,31961,Promotor
SRV-000153,2025-06-18,6,BA,Variedade,36835,Detrator
SRV-000154,2025-06-24,8,ES,Preço,37725,Neutro
SRV-000155,2025-01-20,6,RS,Atendimento,35357,Detrator
SRV-000156,2025-04-19,0,ES,Variedade,11244,Detrator
SRV-000157,2025-07-12,0,MG,Preço,77952,Detrator
SRV-000158,2025-09-01,8,PA,Qualidade do Produto,58061,Neutro
SRV-000159,2025-11-20,10,SC,Tempo de Entrega,16490,Promotor
SRV-000160,2025-10-07,8,ES,Tempo de Entrega,87219,Neutro
SRV-000161,2025-08-16,3,AM,Qualidade do Produto,15839,Detrator
SRV-000162,2025-02-05,8,MG,Atendimento,34992,Neutro
SRV-000163,2025-02-14,2,PA,Variedade,54938,Detrator
SRV-000164,2025-01-28,6,PA,Tempo de Entrega,66249,Detrator
SRV-000165,2025-06-03,5,PE,Qualidade do Produto,54735,Detrator
SRV-000166,2025-01-23,7,PR,Qualidade do Produto,60734,Neutro
SRV-000167,2025-07-26,10,GO,Atendimento,57080,Promotor
SRV-000168,2025-04-01,8,AM,Atendimento,84460,Neutro
SRV-000169,2025-12-25,4,RS,Preço,91457,Detrator
SRV-000170,2025-02-07,0,MS,Tempo de Entrega,34260,Detrator
SRV-000171,2025-08-16,2,AM,Preço,69607,Detrator
SRV-000172,2025-07-21,9,SC,Qualidade do Produto,71852,Promotor
SRV-000173,2025-12-16,7,CE,Variedade,38380,Neutro
SRV-000174,2025-11-05,10,PA,Variedade,94347,Promotor
SRV-000175,2025-09-11,5,PR,Atendimento,81257,Detrator
SRV-000176,2025-02-07,7,RS,Variedade,51191,Neutro
SRV-000177,2025-08-09,8,MT,Variedade,14930,Neutro
SRV-000178,2025-07-06,3,SC,Variedade,14353,Detrator
SRV-000179,2025-02-12,0,CE,Qualidade do Produto,17832,Detrator
SRV-000180,2025-12-25,0,RJ,Variedade,59554,Detrator
SRV-000181,2025-04-24,9,GO,Variedade,98487,Promotor
SRV-000182,2025-09-17,3,GO,Variedade,64017,Detrator
SRV-000183,2025-01-05,6,GO,Preço,67298,Detrator
SRV-000184,2025-03-09,1,MG,Qualidade do Produto,61389,Detrator
SRV-000185,2025-08-16,2,RJ,Atendimento,83306,Detrator
SRV-000186,2025-05-03,0,MS,Preço,35525,Detrator
SRV-000187,2025-06-22,4,MG,Tempo de Entrega,92092,Detrator
SRV-000188,2025-12-02,0,SP,Qualidade do Produto,90630,Detrator
SRV-000189,2025-06-02,7,BA,Qualidade do Produto,83471,Neutro
SRV-000190,2025-09-24,0,SC,Tempo de Entrega,78211,Detrator
SRV-000191,2025-06-06,10,GO,Tempo de Entrega,41280,Promotor
SRV-000192,2025-06-11,0,RJ,Tempo de Entrega,21240,Detrator
SRV-000193,2025-08-02,1,BA,Atendimento,75092,Detrator
SRV-000194,2025-01-26,1,SC,Variedade,79541,Detrator
SRV-000195,2025-10-19,5,RS,Qualidade do Produto,72851,Detrator
SRV-000196,2025-07-08,6,MT,Variedade,16544,Detrator
SRV-000197,2025-05-02,4,SP,Variedade,67981,Detrator
SRV-000198,2025-08-18,0,RS,Tempo de Entrega,27332,Detrator
SRV-000199,2025-02-28,0,MG,Atendimento,36836,Detrator
SRV-000200,2025-04-06,2,MT,Preço,24388,Detrator
SRV-000201,2025-09-19,1,MS,Atendimento,11694,Detrator
SRV-000202,2025-12-20,4,BA,Variedade,96677,Detrator
SRV-000203,2025-11-08,9,SC,Atendimento,98202,Promotor
SRV-000204,2025-05-16,5,ES,Tempo de Entrega,59294,Detrator
SRV-000205,2025-12-16,6,MT,Preço,48769,Detrator
SRV-000206,2025-10-10,3,BA,Tempo de Entrega,49420,Detrator
SRV-000207,2025-04-30,6,PE,Preço,47855,Detrator
SRV-000208,2025-01-25,10,CE,Variedade,11460,Promotor
SRV-000209,2025-12-08,7,RJ,Preço,57646,Neutro
SRV-000210,2025-05-26,10,PA,Preço,51252,Promotor
SRV-000211,2025-01-12,0,SC,Preço,19835,Detrator
SRV-000212,2025-03-28,5,PR,Atendimento,20910,Detrator
SRV-000213,2025-04-19,7,PR,Atendimento,92757,Neutro
SRV-000214,2025-12-11,4,CE,Variedade,18463,Detrator
SRV-000215,2025-09-23,3,MT,Preço,23336,Detrator
SRV-000216,2025-08-10,1,MG,Qualidade do Produto,36534,Detrator
SRV-000217,2025-03-15,5,MS,Variedade,12369,Detrator
SRV-000218,2025-11-29,5,BA,Preço,35381,Detrator
SRV-000219,2025-11-06,10,AM,Preço,95094,Promotor
SRV-000220,2025-04-12,0,BA,Atendimento,97905,Detrator
SRV-000221,2025-05-17,8,MS,Variedade,35407,Neutro
SRV-000222,2025-07-10,10,PR,Preço,72552,Promotor
SRV-000223,2025-05-22,5,BA,Preço,45939,Detrator
SRV-000224,2025-12-23,2,CE,Variedade,77576,Detrator
SRV-000225,2025-03-14,3,PA,Qualidade do Produto,98652,Detrator
SRV-000226,2025-11-24,10,BA,Variedade,36170,Promotor
SRV-000227,2025-06-16,3,MG,Variedade,81908,Detrator
SRV-000228,2025-06-17,2,RJ,Qualidade do Produto,32369,Detrator
SRV-000229,2025-02-23,9,PE,Variedade,83098,Promotor
SRV-000230,2025-09-16,2,RJ,Preço,54544,Detrator
SRV-000231,2025-04-21,2,PE,Variedade,15900,Detrator
SRV-000232,2025-08-20,3,ES,Qualidade do Produto,50733,Detrator
SRV-000233,2025-06-10,6,MS,Tempo de Entrega,97236,Detrator
SRV-000234,2025-12-18,3,GO,Variedade,10589,Detrator
SRV-000235,2025-11-23,8,RJ,Atendimento,70044,Neutro
SRV-000236,2025-01-19,0,CE,Preço,75311,Detrator
SRV-000237,2025-10-17,7,SP,Preço,67926,Neutro
SRV-000238,2025-02-19,6,ES,Atendimento,80599,Detrator
SRV-000239,2025-06-24,1,PE,Atendimento,95553,Detrator
SRV-000240,2025-10-29,7,MS,Variedade,93910,Neutro
SRV-000241,2025-07-03,0,PE,Atendimento,98435,Detrator
SRV-000242,2025-07-04,10,ES,Tempo de Entrega,59008,Promotor
SRV-000243,2025-12-05,8,PE,Qualidade do Produto,76794,Neutro
SRV-000244,2025-11-03,8,PA,Atendimento,89134,Neutro
SRV-000245,2025-11-06,1,MS,Atendimento,12866,Detrator
SRV-000246,2025-12-12,6,SC,Tempo de Entrega,62890,Detrator
SRV-000247,2025-03-22,9,SP,Preço,51504,Promotor
SRV-000248,2025-06-05,2,CE,Preço,63374,Detrator
SRV-000249,2025-10-02,6,GO,Variedade,39404,Detrator
SRV-000250,2025-10-10,9,AM,Tempo de Entrega,75223,Promotor
SRV-000251,2025-09-06,8,SC,Qualidade do Produto,10637,Neutro
SRV-000252,2025-05-27,3,PE,Qualidade do Produto,25828,Detrator
SRV-000253,2025-01-07,0,GO,Tempo de Entrega,63544,Detrator
SRV-000254,2025-06-06,1,RJ,Qualidade do Produto,55097,Detrator
SRV-000255,2025-06-20,0,SC,Preço,42022,Detrator
SRV-000256,2025-03-10,4,RJ,Qualidade do Produto,42202,Detrator
SRV-000257,2025-04-04,4,ES,Qualidade do Produto,38704,Detrator
SRV-000258,2025-12-29,10,PA,Tempo de Entrega,33641,Promotor
SRV-000259,2025-07-05,6,BA,Tempo de Entrega,47479,Detrator
SRV-000260,2025-06-19,8,GO,Qualidade do Produto,88771,Neutro
SRV-000261,2025-07-23,8,RS,Atendimento,32027,Neutro
SRV-000262,2025-02-11,2,MT,Tempo de Entrega,52912,Detrator
SRV-000263,2025-01-13,2,MS,Variedade,81474,Detrator
SRV-000264,2025-06-03,2,GO,Variedade,52692,Detrator
SRV-000265,2025-10-01,3,PE,Preço,42209,Detrator
SRV-000266,2025-10-25,7,RS,Qualidade do Produto,67563,Neutro
SRV-000267,2025-02-20,5,SP,Atendimento,66738,Detrator
SRV-000268,2025-07-31,7,RJ,Preço,47242,Neutro
SRV-000269,2025-05-24,0,SC,Qualidade do Produto,19941,Detrator
SRV-000270,2025-12-23,7,RS,Tempo de Entrega,17073,Neutro
SRV-000271,2025-01-03,3,MG,Variedade,47827,Detrator
SRV-000272,2025-09-11,10,PE,Atendimento,56225,Promotor
SRV-000273,2025-12-01,0,GO,Variedade,47096,Detrator
SRV-000274,2025-09-13,7,PA,Tempo de Entrega,60546,Neutro
SRV-000275,2025-04-08,3,RS,Qualidade do Produto,76457,Detrator
SRV-000276,2025-06-22,5,AM,Tempo de Entrega,78309,Detrator
SRV-000277,2025-05-30,7,SC,Tempo de Entrega,79998,Neutro
SRV-000278,2025-10-06,3,GO,Variedade,96496,Detrator
SRV-000279,2025-02-28,2,SC,Atendimento,40268,Detrator
SRV-000280,2025-04-23,8,SP,Tempo de Entrega,95354,Neutro
SRV-000281,2025-11-20,2,GO,Variedade,52078,Detrator
SRV-000282,2025-08-31,8,PR,Atendimento,11865,Neutro
SRV-000283,2025-11-06,1,CE,Qualidade do Produto,38887,Detrator
SRV-000284,2025-02-26,1,MG,Qualidade do Produto,59876,Detrator
SRV-000285,2025-03-01,1,RS,Preço,43479,Detrator
SRV-000286,2025-11-25,5,CE,Variedade,50478,Detrator
SRV-000287,2025-08-04,2,MG,Atendimento,36401,Detrator
SRV-000288,2025-08-21,8,PR,Tempo de Entrega,38502,Neutro
SRV-000289,2025-02-24,3,RS,Qualidade do Produto,23394,Detrator
SRV-000290,2025-07-27,0,AM,Atendimento,19262,Detrator
SRV-000291,2025-03-04,3,MG,Variedade,14487,Detrator
SRV-000292,2025-07-03,0,GO,Preço,37341,Detrator
SRV-000293,2025-11-07,4,GO,Qualidade do Produto,23570,Detrator
SRV-000294,2025-10-08,3,CE,Atendimento,67268,Detrator
SRV-000295,2025-01-26,7,RJ,Atendimento,39605,Neutro
SRV-000296,2025-06-26,7,SC,Atendimento,81602,Neutro
SRV-000297,2025-03-04,6,BA,Variedade,36723,Detrator
SRV-000298,2025-03-14,2,ES,Variedade,79108,Detrator
SRV-000299,2025-12-01,0,PE,Variedade,88206,Detrator
SRV-000300,2025-06-16,0,MS,Tempo de Entrega,70098,Detrator
SRV-000301,2025-08-13,10,MS,Atendimento,58707,Promotor
SRV-000302,2025-03-06,2,PA,Qualidade do Produto,59028,Detrator
SRV-000303,2025-03-10,5,BA,Variedade,66921,Detrator
SRV-000304,2025-01-09,6,RS,Variedade,70760,Detrator
SRV-000305,2025-08-24,5,AM,Atendimento,20249,Detrator
SRV-000306,2025-07-17,5,RS,Variedade,77847,Detrator
SRV-000307,2025-06-22,5,MG,Tempo de Entrega,53839,Detrator
SRV-000308,2025-10-09,2,AM,Tempo de Entrega,49673,Detrator
SRV-000309,2025-01-28,5,SC,Variedade,13642,Detrator
SRV-000310,2025-10-23,7,GO,Atendimento,16338,Neutro
SRV-000311,2025-05-14,10,GO,Atendimento,61761,Promotor
SRV-000312,2025-01-27,10,PR,Atendimento,19622,Promotor
SRV-000313,2025-02-07,1,SP,Preço,58423,Detrator
SRV-000314,2025-07-15,4,MT,Variedade,52873,Detrator
SRV-000315,2025-07-22,0,MG,Atendimento,57565,Detrator
SRV-000316,2025-03-26,0,GO,Tempo de Entrega,17806,Detrator
SRV-000317,2025-11-16,4,MS,Qualidade do Produto,10757,Detrator
SRV-000318,2025-01-30,2,SP,Qualidade do Produto,31470,Detrator
SRV-000319,2025-04-09,3,ES,Atendimento,16220,Detrator
SRV-000320,2025-07-09,2,CE,Qualidade do Produto,64754,Detrator
SRV-000321,2025-01-12,0,MG,Qualidade do Produto,89852,Detrator
SRV-000322,2025-04-01,0,MT,Preço,32505,Detrator
SRV-000323,2025-01-30,4,ES,Tempo de Entrega,38288,Detrator
SRV-000324,2025-08-01,5,PE,Tempo de Entrega,84492,Detrator
SRV-000325,2025-02-07,2,MG,Preço,29109,Detrator
SRV-000326,2025-12-07,8,MS,Preço,13497,Neutro
SRV-000327,2025-03-01,4,SC,Qualidade do Produto,67326,Detrator
SRV-000328,2025-10-21,7,SC,Variedade,19864,Neutro
SRV-000329,2025-12-26,0,RS,Qualidade do Produto,97562,Detrator
SRV-000330,2025-05-23,4,PE,Preço,84310,Detrator
SRV-000331,2025-06-29,2,MS,Tempo de Entrega,31017,Detrator
SRV-000332,2025-10-12,0,RS,Qualidade do Produto,11821,Detrator
SRV-000333,2025-04-22,3,AM,Variedade,60337,Detrator
SRV-000334,2025-08-18,4,SP,Qualidade do Produto,55485,Detrator
SRV-000335,2025-01-21,6,PA,Atendimento,93557,Detrator
SRV-000336,2025-05-25,0,BA,Qualidade do Produto,66388,Detrator
SRV-000337,2025-05-26,2,PR,Preço,20372,Detrator
SRV-000338,2025-11-12,1,PE,Tempo de Entrega,81333,Detrator
SRV-000339,2025-06-15,8,CE,Tempo de Entrega,26283,Neutro
SRV-000340,2025-05-20,9,GO,Preço,50857,Promotor
SRV-000341,2025-07-22,5,PA,Atendimento,61772,Detrator
SRV-000342,2025-09-01,9,MS,Preço,69670,Promotor
SRV-000343,2025-04-23,2,PR,Qualidade do Produto,83133,Detrator
SRV-000344,2025-07-20,7,PR,Preço,41261,Neutro
SRV-000345,2025-11-10,7,PA,Preço,67154,Neutro
SRV-000346,2025-09-16,1,MS,Atendimento,16107,Detrator
SRV-000347,2025-09-12,5,MS,Qualidade do Produto,45561,Detrator
SRV-000348,2025-01-23,6,AM,Variedade,86674,Detrator
SRV-000349,2025-09-03,1,RJ,Variedade,45268,Detrator
SRV-000350,2025-12-05,10,MS,Tempo de Entrega,41608,Promotor
SRV-000351,2025-11-07,9,MT,Preço,23138,Promotor
SRV-000352,2025-11-14,1,MG,Tempo de Entrega,47693,Detrator
SRV-000353,2025-03-28,9,CE,Atendimento,93000,Promotor
SRV-000354,2025-08-07,0,PE,Variedade,31248,Detrator
SRV-000355,2025-12-22,7,RS,Preço,28632,Neutro
SRV-000356,2025-01-27,0,SP,Atendimento,57547,Detrator
SRV-000357,2025-10-17,8,MG,Atendimento,22100,Neutro
SRV-000358,2025-10-16,10,MS,Preço,57930,Promotor
SRV-000359,2025-12-14,5,RJ,Atendimento,76861,Detrator
SRV-000360,2025-08-11,6,SP,Preço,86905,Detrator
SRV-000361,2025-12-18,9,PE,Preço,63025,Promotor
SRV-000362,2025-06-27,6,BA,Qualidade do Produto,85876,Detrator
SRV-000363,2025-05-28,9,PA,Tempo de Entrega,88944,Promotor
SRV-000364,2025-08-15,2,PR,Atendimento,60840,Detrator
SRV-000365,2025-12-17,1,MT,Atendimento,29369,Detrator
SRV-000366,2025-07-05,8,MS,Qualidade do Produto,28460,Neutro
SRV-000367,2025-10-21,7,RJ,Qualidade do Produto,11461,Neutro
SRV-000368,2025-02-10,9,SP,Qualidade do Produto,52362,Promotor
SRV-000369,2025-07-10,6,RS,Variedade,38610,Detrator
SRV-000370,2025-03-20,8,GO,Variedade,30995,Neutro
SRV-000371,2025-07-24,3,MT,Variedade,94716,Detrator
SRV-000372,2025-10-05,3,MT,Preço,17717,Detrator
SRV-000373,2025-09-29,0,PA,Atendimento,88867,Detrator
SRV-000374,2025-02-01,7,RJ,Tempo de Entrega,89472,Neutro
SRV-000375,2025-05-22,2,SP,Preço,74022,Detrator
SRV-000376,2025-09-08,6,RJ,Atendimento,63668,Detrator
SRV-000377,2025-10-21,1,RS,Atendimento,61645,Detrator
SRV-000378,2025-04-08,1,RS,Qualidade do Produto,39550,Detrator
SRV-000379,2025-05-16,6,CE,Qualidade do Produto,96151,Detrator
SRV-000380,2025-10-04,5,SC,Preço,13576,Detrator
SRV-000381,2025-11-08,2,PR,Qualidade do Produto,50868,Detrator
SRV-000382,2025-10-29,8,MG,Atendimento,56380,Neutro
SRV-000383,2025-02-12,9,AM,Qualidade do Produto,15728,Promotor
SRV-000384,2025-04-30,5,MS,Variedade,42800,Detrator
SRV-000385,2025-08-08,9,MG,Qualidade do Produto,20886,Promotor
SRV-000386,2025-02-15,9,MT,Atendimento,89614,Promotor
SRV-000387,2025-08-24,5,GO,Preço,79909,Detrator
SRV-000388,2025-02-17,0,MS,Tempo de Entrega,57236,Detrator
SRV-000389,2025-07-17,3,PE,Qualidade do Produto,55805,Detrator
SRV-000390,2025-03-25,9,ES,Atendimento,42532,Promotor
SRV-000391,2025-01-31,5,PE,Tempo de Entrega,38688,Detrator
SRV-000392,2025-06-10,5,ES,Tempo de Entrega,21063,Detrator
SRV-000393,2025-03-12,10,RJ,Variedade,33089,Promotor
SRV-000394,2025-01-08,4,PA,Tempo de Entrega,65942,Detrator
SRV-000395,2025-02-21,0,ES,Atendimento,61829,Detrator
SRV-000396,2025-02-14,7,SC,Atendimento,60553,Neutro
SRV-000397,2025-10-20,4,SC,Qualidade do Produto,43585,Detrator
SRV-000398,2025-10-27,4,PR,Qualidade do Produto,81739,Detrator
SRV-000399,2025-02-07,6,PA,Qualidade do Produto,69004,Detrator
SRV-000400,2025-12-21,3,PA,Tempo de Entrega,12438,Detrator
SRV-000401,2025-08-19,5,SP,Tempo de Entrega,33212,Detrator
SRV-000402,2025-09-19,3,MG,Variedade,60362,Detrator
SRV-000403,2025-03-09,2,PR,Qualidade do Produto,82177,Detrator
SRV-000404,2025-06-28,6,SC,Preço,26983,Detrator
SRV-000405,2025-12-23,7,AM,Variedade,24026,Neutro
SRV-000406,2025-07-05,3,SP,Preço,60998,Detrator
