ID_Pedido,Data_Venda,ID_Produto,Quantidade,Faturamento_Bruto,Custo_Total,Regiao,Estado,Forma_Pagamento,Comissao_Percentual,ID_Sist_Antigo
PED-000038,2025-05-31,PROD-121,2,90.5,49.78,Sudeste,MG,Pix,0.05,55017
PED-000039,2025-10-26,PROD-108,2,103.14,56.73,Nordeste,BA,Cartão de Crédito,0.05,29190
PED-000040,2025-01-13,PROD-124,2,60.62,33.34,Sudeste,RJ,Cartão de Débito,0.02,12368
PED-000041,2025-05-22,PROD-115,3,150.84,82.96,Sudeste,RJ,Cartão de Débito,0.05,88657
PED-000042,2025-02-20,PROD-121,1,39.3,21.61,Sudeste,MG,Pix,0.02,32677
PED-000043,2025-09-28,PROD-105,2,407.42,317.79,Sul,RS,Cartão de Crédito,0.02,90135
PED-000044,2025-09-19,PROD-103,1,169.44,132.16,Nordeste,BA,Pix,0.02,90738
PED-000045,2025-05-27,PROD-129,1,53.93,29.66,Sul,PR,Boleto,0.05,35945
PED-000046,2025-05-07,PROD-122,1,71.31,39.22,Sudeste,SP,Cartão de Crédito,0.05,26896
PED-000047,2025-08-25,PROD-124,1,68.3,37.57,Sudeste,RJ,Cartão de Crédito,0.02,39375
PED-000048,2025-09-04,PROD-128,3,134.59,74.02,Sul,RS,Cartão de Débito,0.02,23284
PED-000049,2025-08-08,PROD-113,1,35.65,19.61,Sudeste,SP,Pix,0.05,88781
PED-000050,2025-12-07,PROD-125,3,152.33,83.78,Nordeste,PE,Pix,0.05,36646
PED-000051,2025-04-10,PROD-104,2,352.18,274.7,Sudeste,RJ,Pix,0.05,19823
PED-000052,2025-01-16,PROD-103,3,733.28,571.96,Centro-Oeste,MT,Cartão de Débito,0.05,98223
PED-000053,2025-06-27,PROD-111,3,205.79,113.18,Norte,PA,Cartão de Crédito,0.02,48304
PED-000054,2025-01-12,PROD-128,3,157.91,86.85,Nordeste,CE,Cartão de Crédito,0.02,37350
PED-000055,2025-03-31,PROD-125,2,157.74,86.76,Sudeste,SP,Cartão de Crédito,0.02,13267
PED-000056,2025-08-05,PROD-110,1,88.05,48.43,Nordeste,PE,Cartão de Débito,0.05,48756
PED-000057,2025-02-05,PROD-134,2,350.0,273.0,Nordeste,CE,Cartão de Débito,0.05,98726
PED-000058,2025-07-02,PROD-111,1,74.39,40.91,Norte,AM,Boleto,0.02,65069
PED-000059,2025-08-05,PROD-119,2,95.72,52.65,Norte,PA,Boleto,0.02,89459
PED-000060,2025-03-17,PROD-118,1,49.16,27.04,Sudeste,SP,Pix,0.02,74895
PED-000061,2025-03-10,PROD-115,3,198.44,109.14,Sul,RS,Cartão de Débito,0.02,97508
PED-000062,2025-02-26,PROD-115,3,106.42,58.53,Nordeste,CE,Pix,0.05,21174
PED-000063,2025-06-12,PROD-104,3,613.77,478.74,Norte,PA,Boleto,0.05,82267
PED-000064,2025-09-10,PROD-116,2,70.09,38.55,Nordeste,PE,Cartão de Crédito,0.05,49081
PED-000065,2025-01-05,PROD-101,1,158.48,123.61,Sudeste,MG,Boleto,0.05,23807
PED-000066,2025-11-23,PROD-116,1,65.51,36.03,Centro-Oeste,GO,Cartão de Débito,0.05,99339
PED-000067,2025-07-21,PROD-126,2,99.63,54.8,Sudeste,SP,Pix,0.02,96188
PED-000068,2025-11-13,PROD-119,3,206.86,113.77,Sudeste,RJ,Cartão de Crédito,0.02,90219
PED-000069,2025-11-08,PROD-124,1,43.42,23.88,Norte,AM,Pix,0.05,46395
PED-000070,2025-03-21,PROD-120,2,170.96,94.03,Norte,AM,Cartão de Débito,0.02,40354
PED-000071,2025-05-23,PROD-113,3,269.25,148.09,Norte,PA,Pix,0.05,78866
PED-000072,2025-01-12,PROD-110,2,174.05,95.73,Norte,AM,Cartão de Débito,0.05,33959
PED-000073,2025-06-13,PROD-127,2,106.59,58.62,Sul,RS,Cartão de Débito,0.05,43307
PED-000074,2025-07-11,PROD-135,3,659.45,514.37,Sudeste,SP,Cartão de Crédito,0.02,88752
PED-000075,2025-08-28,PROD-127,1,37.99,20.89,Sudeste,SP,Boleto,0.02,55445
PED-000076,2025-10-30,PROD-104,1,191.82,149.62,Norte,PA,Cartão de Débito,0.05,33793
PED-000077,2025-03-06,PROD-132,2,497.46,388.02,Sul,PR,Cartão de Crédito,0.02,72292
PED-000078,2025-11-11,PROD-121,3,192.43,105.84,Nordeste,BA,Cartão de Crédito,0.05,85880
PED-000079,2025-11-07,PROD-120,2,143.01,78.66,Sudeste,SP,Cartão de Crédito,0.02,19860
PED-000080,2025-02-22,PROD-122,1,75.42,41.48,Norte,AM,Boleto,0.02,66397
PED-000081,2025-09-17,PROD-112,2,165.39,90.96,Sudeste,SP,Cartão de Débito,0.05,46187
PED-000082,2025-09-07,PROD-125,2,117.15,64.43,Sudeste,MG,Boleto,0.02,42049
PED-000083,2025-08-10,PROD-104,3,571.04,445.41,Centro-Oeste,GO,Cartão de Débito,0.02,29758
PED-000084,2025-03-07,PROD-120,3,128.33,70.58,Sudeste,SP,Pix,0.05,88587
PED-000085,2025-12-04,PROD-133,2,410.96,320.55,Norte,PA,Boleto,0.02,85745
PED-000086,2025-12-01,PROD-132,2,424.42,331.05,Sudeste,RJ,Boleto,0.02,49811
PED-000087,2025-09-30,PROD-109,1,88.8,48.84,Sul,PR,Cartão de Crédito,0.05,79836
PED-000088,2025-04-21,PROD-110,1,57.61,31.69,Sudeste,MG,Cartão de Débito,0.02,16090
PED-000089,2025-12-18,PROD-102,3,604.57,471.56,Sudeste,SP,Cartão de Débito,0.05,38732
PED-000090,2025-01-05,PROD-120,2,93.43,51.39,Sudeste,MG,Cartão de Crédito,0.05,89252
PED-000091,2025-12-12,PROD-111,5,188.62,103.74,Sul,PR,Pix,0.02,91818
PED-000092,2025-08-27,PROD-121,2,78.84,43.36,Sudeste,SP,Cartão de Débito,0.02,14432
PED-000093,2025-04-23,PROD-107,3,123.21,67.77,Sudeste,SP,Boleto,0.02,92558
PED-000094,2025-01-28,PROD-125,3,185.63,102.1,Norte,PA,Pix,0.02,14621
PED-000095,2025-01-03,PROD-106,3,242.0,133.1,Sudeste,MG,Boleto,0.02,77067
PED-000096,2025-01-15,PROD-134,1,223.74,174.52,Sudeste,RJ,Cartão de Débito,0.05,11062
PED-000097,2025-05-06,PROD-121,1,83.43,45.89,Sudeste,MG,Cartão de Débito,0.02,17561
PED-000098,2025-04-21,PROD-117,3,222.63,122.45,Nordeste,BA,Boleto,0.05,87735
PED-000099,2025-06-29,PROD-105,2,421.51,328.78,Sudeste,MG,Boleto,0.05,86090
PED-000100,2025-05-30,PROD-132,1,165.29,128.93,Norte,AM,Boleto,0.05,37139
PED-000101,2025-04-05,PROD-129,3,241.62,132.89,Centro-Oeste,GO,Boleto,0.02,14324
PED-000102,2025-11-18,PROD-105,3,709.65,553.53,Norte,AM,Pix,0.05,94471
PED-000103,2025-12-01,PROD-101,3,621.48,484.75,Nordeste,PE,Boleto,0.02,16469
PED-000104,2025-07-31,PROD-118,1,74.17,40.79,Norte,PA,Cartão de Débito,0.02,77584
PED-000105,2025-12-22,PROD-110,5,328.16,180.49,Sul,RS,Pix,0.05,69383
PED-000106,2025-06-21,PROD-109,2,98.68,54.27,Sudeste,MG,Pix,0.05,18512
PED-000107,2025-09-22,PROD-116,3,175.17,96.34,Sudeste,SP,Pix,0.02,46258
PED-000108,2025-11-14,PROD-104,2,324.86,253.39,Sudeste,SP,Cartão de Débito,0.02,80792
PED-000109,2025-01-01,PROD-134,2,309.62,241.5,Sudeste,MG,Cartão de Crédito,0.05,51832
PED-000110,2025-08-01,PROD-134,1,231.46,180.54,Nordeste,PE,Boleto,0.05,30611
PED-000111,2025-10-23,PROD-124,3,218.48,120.16,Sudeste,RJ,Cartão de Débito,0.02,83340
PED-000112,2025-06-02,PROD-114,1,83.97,46.18,Sudeste,MG,Boleto,0.05,28381
PED-000113,2025-05-14,PROD-105,3,638.31,497.88,Sudeste,MG,Cartão de Débito,0.05,97487
PED-000114,2025-10-16,PROD-128,2,167.27,92.0,Sudeste,MG,Cartão de Débito,0.02,20789
PED-000115,2025-10-16,PROD-126,2,84.55,46.5,Nordeste,BA,Pix,0.05,53872
PED-000116,2025-10-30,PROD-130,1,162.75,126.95,Sudeste,SP,Cartão de Débito,0.02,30103
PED-000117,2025-11-28,PROD-103,1,222.0,173.16,Sudeste,MG,Boleto,0.02,49666
PED-000118,2025-03-10,PROD-126,3,262.63,144.45,Sul,RS,Cartão de Débito,0.05,22999
PED-000119,2025-08-06,PROD-111,1,38.35,21.09,Sudeste,RJ,Pix,0.02,25328
PED-000120,2025-12-22,PROD-111,3,217.3,119.52,Sudeste,MG,Pix,0.02,75310
PED-000121,2025-10-23,PROD-128,1,85.53,47.04,Sul,RS,Boleto,0.02,86589
PED-000122,2025-07-01,PROD-135,3,726.25,566.48,Sudeste,RJ,Boleto,0.05,47430
PED-000123,2025-11-05,PROD-120,1,42.33,23.28,Sudeste,MG,Cartão de Crédito,0.02,23224
PED-000124,2025-03-16,PROD-125,2,101.56,55.86,Sudeste,SP,Pix,0.02,67761
PED-000125,2025-01-25,PROD-123,3,119.79,65.88,Norte,PA,Cartão de Crédito,0.05,56240
PED-000126,2025-06-03,PROD-121,2,139.62,76.79,Sudeste,MG,Boleto,0.02,56163
PED-000127,2025-03-04,PROD-121,1,41.07,22.59,Sul,RS,Boleto,0.02,11759
PED-000128,2025-11-14,PROD-118,2,82.88,45.58,Sudeste,MG,Cartão de Crédito,0.02,82847
PED-000129,2025-03-19,PROD-100,3,585.99,457.07,Sul,RS,Pix,0.05,48000
PED-000130,2025-09-21,PROD-103,1,157.55,122.89,Sudeste,RJ,Boleto,0.05,85629
PED-000131,2025-02-24,PROD-122,2,164.04,90.22,Sul,PR,Cartão de Débito,0.02,86534
PED-000132,2025-02-23,PROD-107,1,77.99,42.89,Sudeste,MG,Boleto,0.02,34160
PED-000133,2025-04-06,PROD-134,2,420.64,328.1,Sul,RS,Pix,0.02,22175
PED-000134,2025-08-11,PROD-120,3,251.34,138.24,Sudeste,SP,Boleto,0.05,26032
PED-000135,2025-02-05,PROD-118,1,55.29,30.41,Sudeste,MG,Pix,0.02,33236
PED-000136,2025-07-14,PROD-101,3,460.27,359.01,Sudeste,RJ,Cartão de Débito,0.02,43572
PED-000137,2025-08-14,PROD-108,1,47.67,26.22,Sudeste,RJ,Cartão de Débito,0.05,27771
PED-000138,2025-04-30,PROD-129,3,251.02,138.06,Sudeste,RJ,Cartão de Débito,0.05,61920
PED-000139,2025-01-09,PROD-113,2,136.02,74.81,Sul,PR,Boleto,0.02,65029
PED-000140,2025-06-03,PROD-103,2,480.11,374.49,Sul,RS,Pix,0.02,84532
PED-000141,2025-02-11,PROD-120,1,46.44,25.54,Sudeste,RJ,Cartão de Crédito,0.02,88411
PED-000142,2025-01-27,PROD-121,1,45.99,25.29,Sudeste,RJ,Boleto,0.05,56828
PED-000143,2025-06-22,PROD-109,1,55.13,30.32,Nordeste,CE,Cartão de Débito,0.05,46397
PED-000144,2025-11-03,PROD-100,1,210.32,164.05,Sudeste,RJ,Pix,0.02,67492
PED-000145,2025-04-23,PROD-135,3,539.14,420.53,Centro-Oeste,MS,Boleto,0.05,38769
PED-000146,2025-03-10,PROD-121,1,46.19,25.4,Sudeste,RJ,Boleto,0.05,77298
PED-000147,2025-07-20,PROD-133,2,394.85,307.98,Centro-Oeste,MT,Cartão de Crédito,0.02,45111
PED-000148,2025-02-08,PROD-124,3,237.44,130.59,Nordeste,BA,Cartão de Crédito,0.05,85186
PED-000149,2025-10-02,PROD-111,1,35.49,19.52,Sudeste,RJ,Boleto,0.02,45772
PED-000150,2025-11-14,PROD-111,3,221.8,121.99,Nordeste,BA,Cartão de Crédito,0.02,11750
PED-000151,2025-01-25,PROD-107,2,118.73,65.3,Nordeste,PE,Boleto,0.02,37935
PED-000152,2025-10-09,PROD-116,1,58.39,32.11,Nordeste,CE,Boleto,0.05,47198
PED-000153,2025-11-11,PROD-107,3,233.16,128.24,Nordeste,BA,Boleto,0.05,61571
PED-000154,2025-01-14,PROD-116,3,155.65,85.61,Centro-Oeste,GO,Cartão de Débito,0.05,67132
PED-000155,2025-07-02,PROD-125,3,101.76,55.97,Sudeste,SP,Boleto,0.05,16640
PED-000156,2025-07-29,PROD-124,1,83.16,45.74,Sul,RS,Pix,0.05,90765
PED-000157,2025-09-08,PROD-133,3,505.64,394.4,Sudeste,MG,Pix,0.05,23919
PED-000158,2025-11-14,PROD-128,1,58.79,32.33,Nordeste,CE,Cartão de Débito,0.05,93691
PED-000159,2025-12-25,PROD-129,1,73.94,40.67,Norte,PA,Cartão de Crédito,0.02,43933
PED-000160,2025-05-26,PROD-103,2,417.82,325.9,Sudeste,RJ,Cartão de Débito,0.02,45400
PED-000161,2025-05-20,PROD-123,3,260.99,143.54,Sudeste,SP,Cartão de Crédito,0.02,47573
PED-000162,2025-01-11,PROD-123,2,133.61,73.49,Norte,AM,Cartão de Crédito,0.02,90435
PED-000163,2025-04-17,PROD-109,2,106.09,58.35,Sudeste,SP,Cartão de Crédito,0.02,65554
PED-000164,2025-02-23,PROD-104,3,514.9,401.62,Centro-Oeste,MT,Cartão de Crédito,0.02,72483
PED-000165,2025-06-27,PROD-134,2,439.2,342.58,Norte,AM,Cartão de Débito,0.02,38831
PED-000166,2025-11-25,PROD-124,2,163.22,89.77,Sul,PR,Boleto,0.02,33874
PED-000167,2025-07-14,PROD-108,1,81.13,44.62,Sudeste,SP,Pix,0.02,56542
PED-000168,2025-08-14,PROD-110,3,90.91,50.0,Nordeste,BA,Boleto,0.02,80831
PED-000169,2025-10-11,PROD-112,1,89.49,49.22,Sul,RS,Pix,0.05,19516
PED-000170,2025-02-25,PROD-102,2,408.76,318.83,Sul,PR,Cartão de Crédito,0.02,96231
PED-000171,2025-12-13,PROD-112,1,85.81,47.2,Nordeste,BA,Cartão de Débito,0.02,79274
PED-000172,2025-08-23,PROD-104,1,237.18,185.0,Nordeste,CE,Boleto,0.02,57638
PED-000173,2025-02-08,PROD-129,3,90.2,49.61,Sudeste,MG,Pix,0.05,67932
PED-000174,2025-08-12,PROD-101,1,211.69,165.12,Sul,SC,Cartão de Crédito,0.02,44832
PED-000175,2025-12-03,PROD-123,6,453.97,249.68,Sudeste,RJ,Pix,0.02,52207
PED-000176,2025-02-06,PROD-129,1,77.33,42.53,Centro-Oeste,MS,Cartão de Débito,0.05,55539
PED-000177,2025-01-12,PROD-116,2,145.03,79.77,Sudeste,MG,Pix,0.02,30953
PED-000178,2025-07-11,PROD-113,3,264.4,145.42,Sudeste,RJ,Cartão de Débito,0.02,97266
PED-000179,2025-02-02,PROD-128,2,104.62,57.54,Sul,SC,Cartão de Débito,0.02,37082
PED-000180,2025-08-14,PROD-133,1,244.43,190.66,Nordeste,PE,Boleto,0.02,91958
PED-000181,2025-03-16,PROD-128,2,152.74,84.01,Sul,PR,Cartão de Débito,0.05,87258
PED-000182,2025-01-21,PROD-127,3,165.55,91.05,Sudeste,SP,Boleto,0.05,58901
PED-000183,2025-09-14,PROD-102,2,478.82,373.48,Nordeste,BA,Boleto,0.05,11980
PED-000184,2025-10-07,PROD-124,2,163.72,90.05,Sudeste,SP,Cartão de Débito,0.02,31563
PED-000185,2025-11-05,PROD-128,3,171.66,94.41,Sudeste,SP,Pix,0.05,49110
PED-000186,2025-11-12,PROD-123,2,134.0,73.7,Sul,PR,Pix,0.02,78760
PED-000187,2025-08-24,PROD-116,1,42.03,23.12,Sudeste,MG,Cartão de Crédito,0.05,15109
PED-000188,2025-03-13,PROD-123,3,267.18,146.95,Sudeste,RJ,Cartão de Crédito,0.05,36589
PED-000189,2025-06-15,PROD-130,3,658.49,513.62,Sudeste,RJ,Cartão de Crédito,0.05,30581
PED-000190,2025-06-28,PROD-121,1,44.52,24.49,Norte,AM,Cartão de Crédito,0.05,48559
PED-000191,2025-04-02,PROD-121,1,63.58,34.97,Sudeste,RJ,Cartão de Débito,0.05,73483
PED-000192,2025-08-21,PROD-132,1,158.25,123.44,Sudeste,SP,Cartão de Crédito,0.05,66985
PED-000193,2025-06-23,PROD-125,2,156.07,85.84,Sudeste,RJ,Pix,0.05,19078
PED-000194,2025-05-03,PROD-102,2,418.96,326.79,Nordeste,CE,Cartão de Crédito,0.02,36015
PED-000195,2025-11-14,PROD-127,2,133.47,73.41,Sudeste,RJ,Boleto,0.02,56163
PED-000196,2025-01-03,PROD-121,3,184.75,101.61,Sul,RS,Pix,0.05,25313
PED-000197,2025-01-25,PROD-111,1,66.94,36.82,Sudeste,MG,Boleto,0.02,62579
PED-000198,2025-11-03,PROD-131,2,304.17,237.25,Nordeste,BA,Boleto,0.05,47412
PED-000199,2025-07-21,PROD-102,3,654.07,510.17,Norte,AM,Cartão de Crédito,0.05,65230
PED-000200,2025-11-01,PROD-111,2,175.29,96.41,Sudeste,MG,Pix,0.02,84131
PED-000201,2025-06-01,PROD-119,2,164.04,90.22,Sul,RS,Cartão de Débito,0.02,82099
PED-000202,2025-03-07,PROD-135,3,720.21,561.76,Sudeste,RJ,Pix,0.02,22201
PED-000203,2025-05-11,PROD-111,1,57.95,31.87,Norte,PA,Cartão de Crédito,0.02,67056
PED-000204,2025-10-25,PROD-122,2,176.57,97.11,Sudeste,RJ,Boleto,0.02,74324
PED-000205,2025-08-19,PROD-113,1,69.76,38.37,Sudeste,SP,Boleto,0.05,71272
PED-000206,2025-08-17,PROD-134,1,182.52,142.37,Norte,PA,Cartão de Débito,0.05,71367
PED-000207,2025-01-10,PROD-130,3,582.61,454.44,Sudeste,MG,Cartão de Débito,0.05,81260
PED-000208,2025-05-13,PROD-100,3,734.58,572.97,Sudeste,RJ,Cartão de Crédito,0.05,81635
PED-000209,2025-06-14,PROD-111,1,80.65,44.36,Sudeste,MG,Cartão de Débito,0.05,93310
PED-000210,2025-11-30,PROD-119,2,74.76,41.12,Centro-Oeste,MS,Cartão de Crédito,0.05,10281
PED-000211,2025-07-17,PROD-134,1,243.39,189.84,Sudeste,MG,Cartão de Crédito,0.02,19200
PED-000212,2025-06-30,PROD-119,2,175.81,96.7,Sul,RS,Boleto,0.05,55272
PED-000213,2025-07-03,PROD-130,3,606.52,473.09,Sul,PR,Boleto,0.05,89141
PED-000214,2025-08-22,PROD-115,3,119.23,65.58,Sudeste,RJ,Cartão de Crédito,0.02,33196
PED-000215,2025-06-24,PROD-121,2,139.4,76.67,Sudeste,SP,Boleto,0.05,98009
PED-000216,2025-01-26,PROD-116,3,192.71,105.99,Sudeste,RJ,Cartão de Débito,0.02,52823
PED-000217,2025-05-27,PROD-100,3,647.67,505.18,Nordeste,BA,Cartão de Crédito,0.05,88916
PED-000218,2025-07-11,PROD-127,2,98.17,53.99,Sul,RS,Cartão de Crédito,0.02,97128
PED-000219,2025-06-08,PROD-112,1,36.55,20.1,Centro-Oeste,MT,Pix,0.02,39165
PED-000220,2025-03-23,PROD-105,1,229.78,179.23,Norte,AM,Boleto,0.02,13712
PED-000221,2025-03-30,PROD-106,1,49.48,27.21,Sudeste,RJ,Cartão de Débito,0.05,19108
PED-000222,2025-11-01,PROD-124,1,56.67,31.17,Sudeste,SP,Pix,0.05,86743
PED-000223,2025-09-22,PROD-101,3,612.71,477.91,Nordeste,PE,Cartão de Débito,0.05,41348
PED-000224,2025-05-13,PROD-111,2,123.19,67.75,Centro-Oeste,MT,Boleto,0.05,56819
PED-000225,2025-10-29,PROD-105,2,443.1,345.62,Sul,SC,Boleto,0.02,34596
PED-000226,2025-10-30,PROD-115,1,83.88,46.13,Sudeste,MG,Cartão de Crédito,0.05,18906
PED-000227,2025-10-02,PROD-112,2,79.96,43.98,Sudeste,SP,Cartão de Débito,0.05,67716
PED-000228,2025-08-27,PROD-128,3,194.57,107.01,Sudeste,MG,Pix,0.05,74157
PED-000229,2025-05-12,PROD-112,2,74.63,41.05,Nordeste,BA,Boleto,0.02,54139
PED-000230,2025-03-12,PROD-130,3,482.06,376.01,Sudeste,SP,Pix,0.02,16441
PED-000231,2025-09-20,PROD-103,2,410.05,319.84,Norte,PA,Cartão de Débito,0.02,23673
PED-000232,2025-04-28,PROD-121,1,83.05,45.68,Sudeste,SP,Cartão de Crédito,0.05,47384
PED-000233,2025-06-01,PROD-107,1,44.21,24.32,Sul,RS,Cartão de Crédito,0.05,65826
PED-000234,2025-12-11,PROD-109,6,404.59,222.52,Centro-Oeste,MS,Cartão de Crédito,0.02,74174
PED-000235,2025-04-29,PROD-132,1,159.57,124.46,Sudeste,RJ,Cartão de Débito,0.02,26014
PED-000236,2025-01-11,PROD-131,2,351.38,274.08,Sudeste,MG,Cartão de Crédito,0.02,67784
PED-000237,2025-09-20,PROD-134,1,217.58,169.71,Sul,RS,Pix,0.05,98700
PED-000238,2025-10-07,PROD-110,2,72.49,39.87,Nordeste,BA,Pix,0.05,86329
PED-000239,2025-08-20,PROD-135,1,239.42,186.75,Norte,AM,Boleto,0.02,41367
PED-000240,2025-09-26,PROD-103,1,233.19,181.89,Sudeste,RJ,Cartão de Débito,0.02,78011
PED-000241,2025-08-18,PROD-107,2,141.62,77.89,Sudeste,SP,Cartão de Débito,0.02,55113
PED-000242,2025-08-03,PROD-101,2,372.59,290.62,Sudeste,RJ,Boleto,0.05,19686
PED-000243,2025-11-29,PROD-135,1,219.0,170.82,Sul,RS,Cartão de Crédito,0.02,10207
PED-000244,2025-01-12,PROD-115,1,48.05,26.43,Sudeste,RJ,Cartão de Débito,0.05,20754
PED-000245,2025-12-14,PROD-122,6,537.29,295.51,Norte,AM,Cartão de Débito,0.05,51323
PED-000246,2025-03-25,PROD-120,2,90.85,49.97,Sudeste,RJ,Cartão de Débito,0.02,14895
PED-000247,2025-05-22,PROD-133,1,172.74,134.74,Sudeste,RJ,Cartão de Crédito,0.05,94328
PED-000248,2025-11-27,PROD-108,3,161.46,88.8,Sudeste,MG,Boleto,0.05,46035
PED-000249,2025-05-23,PROD-134,2,413.32,322.39,Centro-Oeste,GO,Cartão de Débito,0.05,22329
PED-000250,2025-06-07,PROD-134,2,473.61,369.42,Sul,PR,Pix,0.02,41750
PED-000251,2025-06-12,PROD-114,2,78.45,43.15,Sudeste,SP,Boleto,0.05,82909
PED-000252,2025-01-25,PROD-109,2,75.9,41.75,Norte,PA,Pix,0.02,83822
PED-000253,2025-11-06,PROD-115,2,80.98,44.54,Sul,RS,Boleto,0.02,61112
PED-000254,2025-01-25,PROD-133,3,738.93,576.37,Centro-Oeste,MT,Cartão de Débito,0.05,17967
PED-000255,2025-11-30,PROD-130,2,355.55,277.33,Sudeste,SP,Boleto,0.05,28268
PED-000256,2025-10-14,PROD-122,3,191.6,105.38,Sudeste,RJ,Pix,0.05,65677
PED-000257,2025-02-25,PROD-130,3,745.1,581.18,Norte,AM,Boleto,0.02,39794
PED-000258,2025-03-21,PROD-106,1,60.57,33.31,Sudeste,RJ,Boleto,0.05,33312
PED-000259,2025-05-04,PROD-135,2,385.22,300.47,Sudeste,SP,Boleto,0.02,42371
PED-000260,2025-01-07,PROD-134,3,574.24,447.91,Sudeste,SP,Pix,0.02,19956
PED-000261,2025-03-03,PROD-101,3,575.57,448.94,Sudeste,SP,Pix,0.02,33177
PED-000262,2025-03-06,PROD-104,1,151.21,117.94,Nordeste,CE,Pix,0.02,66532
PED-000263,2025-06-13,PROD-131,1,160.97,125.56,Sudeste,SP,Cartão de Débito,0.02,14798
PED-000264,2025-07-15,PROD-125,2,98.96,54.43,Sul,SC,Cartão de Débito,0.05,31223
PED-000265,2025-02-11,PROD-128,1,87.37,48.05,Centro-Oeste,MT,Cartão de Crédito,0.02,40911
PED-000266,2025-05-10,PROD-100,1,177.94,138.79,Nordeste,BA,Pix,0.05,38671
